,0,1
11,JOE BIDEN:,"I, uh – the American people have a right to have a say in who the Supreme Court nominee is, and that say occurs when they vote for, A) United States Senators, and when they vote for the President of the United States.  They're not going to get that chance now, because we're in the middle of an election already.  The election has already started.  Tens of thousands of people have already voted, and, so the thing that should happen is we should wait.  We should wait and see what the outcome of this election is, because that's the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.  Now, what's at stake here is the President has made it clear he wants to get rid of the Affordable Care Act.  He's been running on that.  He ran on that, and he's been governing on that.  He's in the Supreme Court right now trying to get rid of, uh, the, the Affordable Care Act, which, uh, will strip 20 million people from having insurance, health insurance now, if it, if they, if it goes into Court.  And, and, uh, the Justice – and I have nothing, I'm not opposed to the Justice, because she seems like a very fine person.  What she's written before she went on the bench, which is her right, is she thinks that the Affordable Care Act is not constitutional.  The other thing that's on the Court – and if, if, and if it's struck down, what happens?  Women's rights are fundamentally changed.  Once again, a woman could be held, pay more money because she has a preexisting condition of pregnancy.  We're able to, uh, they're able to charge a woman more for the same exact procedure a man did – gets.  And that ended when we, in fact, passed the Affordable Care Act.  And there's a hundred million people that have preexisting conditions, and they'll be taken away as well.  Those preexisting conditions, the insurance companies are going to love this.  And, so, it's just not appropriate to do this before this election.  If he wins the election and the Senate is Democrat or Republican, then it – he goes forward.  If not, we should wait until February."
12,CHRIS WALLACE:,All right.
13,DONALD TRUMP:,"There aren't a hundred million people with preexisting conditions.  As far as a say is concerned, the people already had their say.  They – okay, Justice Ginsburg said very powerfully, very strongly, at some point, 10 years ago or so, she said a President and the Senate is elected for a period of time.  But a President is elected for 4 years.  We're not elected for 3 years.  I'm not elected for 3 years.  So, we have the Senate.  We have a President."
14,JOE BIDEN:,He's elected until the next election.
15,DONALD TRUMP:,"During that period of time, during that period of time, we have an opening.  I'm not elected for 3 years.  I'm elected for 4 years.  And the hundred million people –"
16,JOE BIDEN:,The election has already started.
17,DONALD TRUMP:,"Joe, the hundred million people is totally wrong.  I don't know where you got that number.  The bigger problem that you have is that you're going to extinguish 180 million people with their private healthcare that they're very happy with."
18,JOE BIDEN:,That's simply not true.
19,DONALD TRUMP:,"Well, you're certainly going to socialist, you're going to socialist medicine."
20,CHRIS WALLACE:,"So, this is, we're now into – gentlemen, we're now into open discussion."
21,JOE BIDEN:,Open discussions.
22,CHRIS WALLACE:,"Open discussion.  Yes, I agree.  Go ahead, Vice President."
23,JOE BIDEN:,"Number one, uh, he, he knows that, uh, what I proposed.  What I proposed is that, uh, we expand Obamacare, and we increase it.  We do not wipe any – and one of the big debates we had with 23 of my colleagues trying to win the nomination that I won were saying that Biden wanted to allow people to have private insurance still.  They can.  They do.  They will, under my proposal."
24,DONALD TRUMP:,That's not what you've said – 
25,JOE BIDEN:,But that is –
26,DONALD TRUMP:,– and it's not what your party has said.
27,JOE BIDEN:,That is simply a lie.
28,DONALD TRUMP:,Your party doesn't say it.
29,JOE BIDEN:,That is – 
30,DONALD TRUMP:,Your party wants to go socialist medicine –
31,JOE BIDEN:,My party is me.
32,DONALD TRUMP:,– and socialist healthcare.
33,JOE BIDEN:,"Right now, I am the Democratic Party."
34,DONALD TRUMP:,"And they're going to dominate you, Joe.  You know that."
35,JOE BIDEN:,"I am the Democratic Party, right now.  The platform of the Democratic Party is –"
36,DONALD TRUMP:,Not according to Harris.
37,JOE BIDEN:,"– what I, in fact, approved of.  What I approved of.  Now, here's the deal.  The deal is that it's going to wipe out preexisting conditions.  And, by the way, the 20, the 200 million, the 200,000 people that have died on his watch, they are – how many of those, uh, have survived?  Well, there's 7,000,000 people that have contracted COVID.  What does it mean for them going forward if you strike down the Affordable Care Act and – "
38,DONALD TRUMP:,"Joe, you've had 308,000 military people dying because you couldn't provide them proper healthcare in the military.  So, don't tell me about this."
39,JOE BIDEN:,I'm happy to talk about this.
40,DONALD TRUMP:,"And if you were here, you –"
41,JOE BIDEN:,"Look, here's the deal."
42,DONALD TRUMP:,"It wouldn't be 200, it would be 2,000,000, people because you were very late on the draw."
43,JOE BIDEN:,Late on the draw.
44,DONALD TRUMP:,"You didn't want me to ban China, which was heavily infected.  You didn't want me to ban –"
45,CHRIS WALLACE:,"All right.  We're, uh, gentlemen –"
46,DONALD TRUMP:,"– Europe, which was heavily – "
47,CHRIS WALLACE:,"We, we – no.  Mr. President?"
48,DONALD TRUMP:,"You would have been much later, Joe."
49,CHRIS WALLACE:,Mr. President?  Mr. President?
50,DONALD TRUMP:,"Much later.  You're talking about 2,000,000 people."
51,CHRIS WALLACE:,Mr. President –
52,JOE BIDEN:,You're not going to be able to shut him up.
53,CHRIS WALLACE:,"Mr. President, as a moderator – we are going to talk about COVID in the next segment.  But go ahead."
54,JOE BIDEN:,"Let me finish.  The point is that the President also is opposed to Roe v. Wade.  That's on the ballot as well in the Court, in the Court.  And so that's also at stake right now.  And so the election is already begun – "
55,DONALD TRUMP:,You don't know what's on the ballot.
56,JOE BIDEN:,I –
57,DONALD TRUMP:,Why is it on the ballot?
58,JOE BIDEN:,"Because, because you said you're –"
59,DONALD TRUMP:,Why is it on the ballot?  It's not on the ballot.
60,JOE BIDEN:,It's on the ballot in the Court.
61,DONALD TRUMP:,I don't think so.
62,JOE BIDEN:,In the Court.  Well –
63,DONALD TRUMP:,There's nothing happening there.
64,JOE BIDEN:,"Donald, would you just be quiet for a minute?"
65,DONALD TRUMP:,And you don't know her view on Roe v. Wade.
66,JOE BIDEN:,I don't know.
67,DONALD TRUMP:,You don't know her view.
68,CHRIS WALLACE:,"Well, all right, let's – all right, let's talk, I – we've got a lot to unpack here, gentlemen.  We got a lot of time.  So, uh, on healthcare, uh, and then we'll come back to Roe v. Wade."
69,JOE BIDEN:,All right.
70,CHRIS WALLACE:,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump administration, along with 18 state attorneys general, are seeking to overturn –"
71,DONALD TRUMP:,That's right.
72,CHRIS WALLACE:,– Obamacare.  To end Obamacare.  You have spent the last –
73,DONALD TRUMP:,Because we want to give –
74,CHRIS WALLACE:,"Let me, if I, if I may –"
75,DONALD TRUMP:,– good healthcare.
76,CHRIS WALLACE:,If I may ask –
77,DONALD TRUMP:,Go ahead.
78,CHRIS WALLACE:,"– my question, sir."
79,JOE BIDEN:,Good healthcare.
80,CHRIS WALLACE:,"Over, uh, the last 4 years, you have promised to repeal and replace Obamacare, but you have never in these 4 years come up with a plan, a comprehensive plan –"
81,DONALD TRUMP:,Of course I have.
82,CHRIS WALLACE:,– to replace Obamacare.
83,DONALD TRUMP:,Of course I have.
84,CHRIS WALLACE:,"Well, I'll give you an opportunity –"
85,DONALD TRUMP:,We got rid of the individual mandate.
86,CHRIS WALLACE:,"When I finish, I'm going to give you an opportunity, but I –"
87,DONALD TRUMP:,"Excuse me, I got rid of the individual mandate, which was a big chunk of Ob –"
88,CHRIS WALLACE:,That is not a comprehensive plan.
89,DONALD TRUMP:,That is absolutely a big thing.  That was the worst –
90,CHRIS WALLACE:,"Okay, I, I didn't ask –"
91,DONALD TRUMP:,– part of Obamacare.
92,CHRIS WALLACE:,Sir –
93,DONALD TRUMP:,"Chris, that was the worst part of Obamacare."
94,CHRIS WALLACE:,– (inaudible) him and not me.  Let me ask my question.
95,DONALD TRUMP:,"Well, I'll, I'll ask Joe."
96,CHRIS WALLACE:,"I, I, uh, I, no, I –"
97,DONALD TRUMP:,The individual mandate was the most unpopular aspect–
98,CHRIS WALLACE:,"Mr. Vice Pre, Mr. President –"
99,DONALD TRUMP:,– of Obamacare.  I got rid of it.
100,CHRIS WALLACE:,I would like you to –
101,DONALD TRUMP:,And we will protect people –
102,CHRIS WALLACE:,Mr. President –
103,DONALD TRUMP:,– with preexisting conditions.
104,CHRIS WALLACE:,"– I'm the moderator of this debate, and I would like you to let me ask my question, and then you can answer."
105,DONALD TRUMP:,Go ahead.
106,CHRIS WALLACE:,"You, in the course of these 4 years have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday, you signed a largely symbolic executive order –"
107,DONALD TRUMP:,That's – 
108,CHRIS WALLACE:,"– to protect people with preexisting conditions 5 days before this debate.  So, my question, sir, is what is the Trump healthcare plan?"
109,DONALD TRUMP:,"All right.  Well, first of all, I guess I'm debating you, not him.  But that's okay.  I'm not surprised.  Let me just tell you something, that there's nothing symbolic.  I'm cutting drug prices.  I'm going with favored nations, which no president has the courage to do, because you're going against big pharma.  Drug prices will be coming down 80 or 90 percent.  You could have done it during your 47year period in government, but you didn't do it.  Nobody's done it.  So, we're cutting healthcare."
110,CHRIS WALLACE:,What about preexisting conditions?
111,DONALD TRUMP:,All of the things that we've done –
112,JOE BIDEN:,He has not cut healthcare.
113,DONALD TRUMP:,"Insulin.  I'll give you an example.  Insulin.  It's going to, it was destroying families, destroying people, the cost.  I'm getting it for so cheap, it's like water.  You want to know the truth?  So cheap.  Take a look at all of the drugs that, what we're doing, prescription drug prices.  We're going to allow our governors now to go to other countries to buy drugs –"
114,CHRIS WALLACE:,Okay.
115,DONALD TRUMP:,– because they pay just a tiny fraction.
116,CHRIS WALLACE:,"I've got to say, this is open discussion."
117,DONALD TRUMP:,"No, but this is big – "
118,CHRIS WALLACE:,"Let me ask you about, let me ask – you'll be happy."
119,DONALD TRUMP:,This is big stuff.
120,CHRIS WALLACE:,"Sir, you'll be happy.  I'm about to pick up on one of your points to ask the Vice President, which is he points out that you would like to add a public option to Obamacare."
121,JOE BIDEN:,Yes.
122,CHRIS WALLACE:,"And the argument that he makes, and other Republicans make, is that that is going to end private insurance, and will –"
123,JOE BIDEN:,It is not.
124,CHRIS WALLACE:,Uh –
125,JOE BIDEN:,I'm sorry.
126,CHRIS WALLACE:,"Can I ask you the question?  And, it will end –"
127,DONALD TRUMP:,"That's not what your party says, by the way."
128,CHRIS WALLACE:,It will end private insurance and create a government takeover of healthcare.
129,JOE BIDEN:,"It does not.  It's only for those people who are so poor they qualify for Medicaid.  They can get that free in most states, expect governors who want to deny people who are poor Medicaid.  Anyone who qualifies for Medicare would, excuse me, Medicaid, would automatically be enrolled in the public option.  The vast majority of the American people would still not be in that option, number one."
130,DONALD TRUMP:,"Joe, you agreed –"
131,JOE BIDEN:,Number two –
132,DONALD TRUMP:,– with Bernie Sanders –
133,JOE BIDEN:,"Number, I, I didn't –"
134,DONALD TRUMP:,"– who is far left on the manifesto, we call it."
135,JOE BIDEN:,We knew –  manifesto –
136,DONALD TRUMP:,And that gives you socialized medicine.
137,JOE BIDEN:,"Look, hey.  I'm not –"
138,DONALD TRUMP:,Are you saying you didn't agree?
139,JOE BIDEN:,"– going to listen to him.  The fact of the matter is, I beat Bernie Sanders."
140,DONALD TRUMP:,Not by much.
141,JOE BIDEN:,"I, I beat him a whole hell of a lot."
142,DONALD TRUMP:,Not by much.
143,JOE BIDEN:,"I'm here, I'm here standing facing you, old buddy."
144,DONALD TRUMP:,If Pocahontas would have left 2 days early –
145,JOE BIDEN:,"Well, I said –"
146,DONALD TRUMP:,– you would have lost every primary –
147,JOE BIDEN:,All he knows how to do is –
148,DONALD TRUMP:,– on Super Tuesday.
149,JOE BIDEN:,Look.
150,DONALD TRUMP:,You got very lucky.
151,JOE BIDEN:,"Here's the deal.  I got very lucky.  I'm going to get very lucky tonight as well.  And tonight, I'm going to make sure –"
152,DONALD TRUMP:,With what?
153,JOE BIDEN:,Because –
154,DONALD TRUMP:,With what?
155,JOE BIDEN:,Here's the deal.  Here's the deal.  The fact is that everything he's saying so far is simply a lie.  I'm not here to call out his lies.  Everybody knows he's a liar.
156,DONALD TRUMP:,But you agree –
157,JOE BIDEN:,I just want to make sure that –
158,DONALD TRUMP:,"– (inaudible), Joe, you're the liar."
159,JOE BIDEN:,"I, I, I, I want to make sure –"
160,DONALD TRUMP:,"You graduated last in your class, not first in your class."
161,JOE BIDEN:,"Oh, god.  I want to make sure –"
162,CHRIS WALLACE:,"Mr. President, can you let him finish, sir?"
163,JOE BIDEN:,"No, he doesn't know how to do that.  He has –"
164,DONALD TRUMP:,You'd be surprised.
165,JOE BIDEN:,"You know, uh, you, you pick –"
166,DONALD TRUMP:,"You'd be surprised.  Go ahead, Joe."
167,JOE BIDEN:,"– the wrong guy, the wrong night, at the wrong time."
168,DONALD TRUMP:,"Go, go, go on Joe.  No, listen.  You agreed with Bernie Sanders –"
169,JOE BIDEN:,Here's the deal.  The whole idea –
170,DONALD TRUMP:,– and the manifesto –
171,CHRIS WALLACE:,"Let, let, let, let him –"
172,DONALD TRUMP:,– (inaudible).  
173,JOE BIDEN:,"There is no manifesto, number one."
174,CHRIS WALLACE:,"Please let him speak, Mr. President."
175,JOE BIDEN:,Number two –
176,DONALD TRUMP:,He just lost the left.
177,JOE BIDEN:,"Number two, I, I, uh –"
178,DONALD TRUMP:,You just lost the left.  You agreed with Bernie Sanders on a plan –
179,JOE BIDEN:,"How, folks –"
180,DONALD TRUMP:,– that you absolutely agreed to –
181,JOE BIDEN:,"Folks, do you have any idea what this clown's doing?"
182,DONALD TRUMP:,"– and under that plan, you have socialized, they call it Medicare for All."
183,CHRIS WALLACE:,"Mr., Mr. President –"
184,DONALD TRUMP:,Socialized medicine.
185,CHRIS WALLACE:,Mr. President –
186,JOE BIDEN:,"Well, I tell you what.  He is not for any help for people needing healthcare.  Because –"
187,DONALD TRUMP:,Who isn't?  Bernie?
188,JOE BIDEN:,"Because he, in fact, already has cost 10 million people their healthcare that they had from their employers because of his recession, number one."
189,DONALD TRUMP:,"Oh, oh, yeah.  Yeah."
190,JOE BIDEN:,"Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away.  He won't ever look you in the eye and say that's what he wants to do, take it away."
191,DONALD TRUMP:,"No, I want to give you better healthcare –"
192,JOE BIDEN:,But –
193,DONALD TRUMP:,– at a much lower price.
194,JOE BIDEN:,"But, and, by the way –"
195,DONALD TRUMP:,Because Obamacare is no good.
196,JOE BIDEN:,"– he doesn't know how, he doesn't know how to do that."
197,DONALD TRUMP:,I've already fixed it.
198,JOE BIDEN:,He has never offered a plan.
199,DONALD TRUMP:,I've already fixed it to an extent.
200,JOE BIDEN:,He has never done a single thing.
201,DONALD TRUMP:,"Obamacare, as you might know, but probably don't, Obamacare is no good, Joe."
202,CHRIS WALLACE:,"Gentlemen, you realize if you're both speaking at the same time –"
203,DONALD TRUMP:,"It's no good, and it's too expensive."
204,CHRIS WALLACE:,"Let, let, let, let the President speak, go ahead, sir."
205,DONALD TRUMP:,"Obamacare is no good.  We made it better.  And I had a choice to make very early on.  We took away the individual mandate.  We guaranteed pre-existing conditions, but took away the individual –  "
206,JOE BIDEN:,Not true.  
207,DONALD TRUMP:,"– the individual mandate.  Listen, this is the way it is.  And that destroyed, that – they shouldn't even call it Obamacare.  Then I had a choice to make, do I let my people run it really well or badly.  If I run it badly, they'll probably blame him, but they'll blame me, but more importantly, I want to help people, okay?  I said, you got to run it so well.  "
208,JOE BIDEN:,That's what he's going for.  
209,DONALD TRUMP:,"And I just had a meeting with them.  They said the problem is, no matter how well you run Obamacare, it's a disaster.  It's too expensive.  "
210,CHRIS WALLACE:,"Okay, I gotcha, I got –  "
211,DONALD TRUMP:,Premiums are too high –  
212,JOE BIDEN:,That's what his –   
213,DONALD TRUMP:,– and it doesn't work.  
214,JOE BIDEN:,That's what his people said.  
215,DONALD TRUMP:,"So, we, we do want to get –  "
216,CHRIS WALLACE:,"I, no, no.  But I, –  "
217,DONALD TRUMP:,– rid of it.  
218,CHRIS WALLACE:,Look –  
219,DONALD TRUMP:,"Chris, we want to get rid of it, –  "
220,CHRIS WALLACE:,– it's an open – I understand –  
221,DONALD TRUMP:,– and get something –  
222,CHRIS WALLACE:,"– that, sir, but I have to –  "
223,DONALD TRUMP:,– that's cheaper and better.  
224,CHRIS WALLACE:,– I have to give you roughly equal time.  
225,DONALD TRUMP:,Okay.  Good.  
226,CHRIS WALLACE:,"Please let the Vice President talk, sir.  "
227,DONALD TRUMP:,Good.  
228,JOE BIDEN:,He has no plan for healthcare.  
229,DONALD TRUMP:,Course we do.  
230,JOE BIDEN:,"He sends, –  "
231,CHRIS WALLACE:,Please.  
232,JOE BIDEN:,"– he sends out wishful thinking.  He has executive orders that have no power.  He hasn't lowered drug costs for anybody.  He's been promising a healthcare plan since he got elected.  He has none, like almost everything else he talks about.  He does not have a plan.  He doesn't have a plan.  And the fact is, this man doesn't know what he's talking about.  He's against –  "
233,CHRIS WALLACE:,"All right, I have one, I have one final question for you, –  "
234,JOE BIDEN:,Sure.  
235,CHRIS WALLACE:,"– uh, Mr. Vice President.  If Senate Republicans – we were talking originally about the Supreme Court here – if Senate Republicans go ahead and confirm Justice Barrett, uh, there has been talk about ending the filibuster or even packing the court, adding to the nine justices there.  You call this a distraction by the President, but, in fact, it wasn't brought up by the President.  It was brought up by some of your Democratic colleagues in – "
236,JOE BIDEN:,"No, I'm saying –  "
237,CHRIS WALLACE:,"– in the Congress.  So my question to you is, you have refused in the past to talk about it, are you willing to tell the American people tonight whether or not you will support either ending the filibuster or packing the court?  "
238,JOE BIDEN:,"Whatever position I take in that, that'll become the issue.  The issue is, the American people should speak.  You should go out and vote.  You're in voting now.  Vote and let your Senators know how strongly you feel.  "
239,DONALD TRUMP:,Are you going to pack the court?  
240,JOE BIDEN:,Let – vote now.  
241,DONALD TRUMP:,Are you going to pack the court?  
242,JOE BIDEN:,"Make sure you, in fact, let people know.  "
243,DONALD TRUMP:,He doesn't want to answer the question.  
244,JOE BIDEN:,"Your Senators.  I'm not going to answer the question, because –  "
245,DONALD TRUMP:,Why wouldn't you answer that question?  
246,JOE BIDEN:,"– because the question is, –  "
247,DONALD TRUMP:,You want to put a lot of new supreme court justices –  
248,JOE BIDEN:,"– the question is, –  "
249,DONALD TRUMP:,– radical left –  
250,JOE BIDEN:,"– the question – will you shut up, man?  "
251,DONALD TRUMP:,"Who is your, listen, who is on your list, Joe?  Who's on your list?"
252,JOE BIDEN:,This is so –  
253,CHRIS WALLACE:,Gentlemen –  
254,JOE BIDEN:,– this is –  
255,CHRIS WALLACE:,– I think we've ended this –  
256,JOE BIDEN:,– this is so unpresidential (inaudible).  
257,DONALD TRUMP:,He's going to pack the court –
258,CHRIS WALLACE:,"– we have ended, no, no.  "
259,DONALD TRUMP:,– and he's not going to give a list.  
260,CHRIS WALLACE:,We have ended this segment.  We're going to move on to the second segment.  
261,JOE BIDEN:,"That was really a productive segment, wasn't it?  Keep yapping, man.  "
262,DONALD TRUMP:,"The people understand, Joe.  "
263,JOE BIDEN:,They sure do.  
264,DONALD TRUMP:,"Forty-seven years, you've done nothing.  They understand."
265,JOE BIDEN:,Oh –  
266,CHRIS WALLACE:,"All right.  The second subject is COVID-19, which is an awfully serious subject, so let's try to be serious about it.  We have had more than 7 million cases of coronavirus in the United States, and more than 200,000 people have died.  Even after we produce a vaccine, experts say that it could be months, or even years, before we come back to anything approaching normal.  My question for both of you is, based on what you have said and done so far and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward?  In this case, the question goes to you first, sir.  Two minutes uninterrupted.  "
267,JOE BIDEN:,"Good luck.  200,000 dead.  As you've said, over 7,000,000 infected in the United States.  We, in fact, have 5 percent – we're 4 percent of the world's population, 20 percent of the deaths.  40,000 people a day are contracting COVID.  In addition to that, about between 750 and 1,000 people a day are dying.  When he was presented with that number, he said, ""It is what it is.""  Well, it is what it is because you are who you are.  That's why it is.  The President has no plan.  He hasn't laid out anything.  He knew all the way back in February how serious this crisis was.  He knew it was a deadly disease.  What did he do?  He's on tape as acknowledging he knew it.  He said he didn't tell us or give people a warning of it, because he didn't want to panic the American people.  You don't panic.  He panicked.  In addition to that, what did he do?  He went in and he – we were insisting that the China, the, the people we had on the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was.  He did not even ask Xi to do that.  He told us –  "
268,DONALD TRUMP:,Wrong.  
269,JOE BIDEN:,"– what a great job Xi was doing.  He said we owe him a debt of gratitude for being so transparent with us, and what did he do then?  He then did nothing.  He, he waited and waited and waited.  He still doesn't have a plan.  "
270,DONALD TRUMP:,Wrong.  
271,JOE BIDEN:,"I laid out back in March, –  "
272,CHRIS WALLACE:,"Sir, it's his 2 minutes.  "
273,DONALD TRUMP:,"It's so, it's so wrong.  "
274,JOE BIDEN:,"– exactly what we should be doing.  And I laid out again in July what we should be doing.  We should be providing all the protective gear – we should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open, open schools that cost a lot of money.  You should get out of your bunker, and get out of the sand trap, and get in – and your golf course, and go in the Oval Office and bring together the Democrats and Republicans, and fund what needs to be done now to save lives.  "
275,DONALD TRUMP:,"So, if we –  "
276,CHRIS WALLACE:,Wait –  
277,DONALD TRUMP:,– would've listened to you –  
278,CHRIS WALLACE:,"Wait, wait, you have 2 minutes, sir.  "
279,DONALD TRUMP:,"If we would've listened to you, the country would've been left wide open.  Millions of people would've died.  Not 200,000, and one person is too much.  It's China's fault.  It should have never happened.  They stopped it from going in, but it was China's fault.  And, by the way, when you talk about numbers, you don't know how many people died in China.  You don't know how many people died in Russia.  You don't know how many people died in India.  They don't exactly give you a straight count, just so you understand.  But if you look at what we've done, I closed it, and you said he's xenophobic.  He's a racist and he's xenophobic, because you didn't think –  "
280,JOE BIDEN:,That's not related to your COVID –  
281,DONALD TRUMP:,– I should've closed our country.  Wait a minute.  
282,CHRIS WALLACE:,(Inaudible).  It's his 2 minutes.  
283,DONALD TRUMP:,"You didn't think we should've closed our country, because you thought it was too, it was terrible.  You wouldn't have closed it for another 2 months.  By my doing it early, in fact, Dr. Fauci said President Trump saved thousands of lives.  Many of your Democrat governors said President Trump did a phenomenal job.  We worked with the governor – oh really?  Go take a look.  Your governors said I did a phenomenal job.  Most of them said that.  In fact, people that would not be necessarily on my side said that.  President Trump did a phenomenal job.  We did.  We got the gowns, we got the masks, we made the ventilators.  You wouldn't have made ventilators, and now we're weeks away from a vaccine.  We're doing therapeutics already.  Fewer people are dying when they get sick.  Far fewer people are dying.  We've done a great job.  The only thing I haven't done a good job, and that's because of the fake news, no matter what you say to them, they give you bad press on it.  It's just fake news.  They give you good press, they give me bad press, because that's the way it is unfortunately.  But let me just tell you something.  I don't care, I've gotten used to it.  But I'll tell you, Joe, you could never have done the job that we did.  You don't have it in your blood.  You could've never done that job. "
284,JOE BIDEN:,I know how to do the job.  I know how to get the job done.  
285,DONALD TRUMP:,"Well, you didn't do very well on the swine flu.  H1N1, you were a disaster.  Your own chief of staff –  "
286,JOE BIDEN:,"14,000 –  "
287,DONALD TRUMP:,– said you were a disaster.  
288,JOE BIDEN:,"– 14,000 people died, not 200,000.  There was –  "
289,DONALD TRUMP:,A very –  
290,JOE BIDEN:,– no economic recession.  
291,CHRIS WALLACE:,"Let's, sir, you made a point –  "
292,DONALD TRUMP:,"A far less lethal disease, by the way.  "
293,JOE BIDEN:,"There were no, there was no (inaudible).    "
294,CHRIS WALLACE:,"– you made a point, let him answer.  "
295,JOE BIDEN:,"And there was no one, there's no – we didn't shut down the economy.  This is his economy that's being, he shut down.  The reason it's shut down is because – look, you folks at home, how many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID?  How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them?  You had a nurse holding a phone up so you could, in fact, say goodbye?  "
296,DONALD TRUMP:,You would have lost far more people.  
297,JOE BIDEN:,How many people?  
298,DONALD TRUMP:,Far more people.  
299,JOE BIDEN:,That is –  
300,DONALD TRUMP:,You would've been months late.
301,JOE BIDEN:,"And, and by the way, your own, his, his own, –  "
302,DONALD TRUMP:,"You were months behind me, Joe.  "
303,JOE BIDEN:,"– his own CDC director says we could lose as many as another 200,000 people between now and the end of the year, and he held up, he said if we just wear a mask, we can save half those numbers.  Just, just a mask.  And by the way, in terms of the whole notion of a vaccine, we're for a vaccine, but we – I don't trust him at all, nor do you.  I know you don't.  What we trust is the scientists.  "
304,DONALD TRUMP:,You don't trust Johnson and Johnson? 
305,JOE BIDEN:,We trust Dr. Fauci.  
306,DONALD TRUMP:,Pfizer?  
307,JOE BIDEN:,"We, we, and by the way –"
308,JOE BIDEN:,– and then –  
309,CHRIS WALLACE:,"Gentleman, let me, let me move on to questions about the future, because you both have touched on one of the, two of the questions I'm going to ask.  Uh, focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your government's own top scientists.  The week before last, the head of the Centers for Disease Control, Dr. Redfield, said it would be summer before the vaccine would become generally available to the public.  You said that he was confused and mistaken.  Those were your two words.  "
310,DONALD TRUMP:,Yeah.  
311,CHRIS WALLACE:,"But, Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing.  Are they both wrong?  "
312,DONALD TRUMP:,"Well, I've spoken to the companies, and we can have it a lot sooner.  It's a very political thing, because people like this would rather make it political than save lives.  It is a very political thing.  I've spoken to Pfizer, and I've spoken to all of the people that you have to speak to.  We have great – Moderna, Johnson and Johnson, and others.  They can go faster than that by a lot.  Become very political because the left, or I don't know if I'd call them left.  "
313,CHRIS WALLACE:,"So, so you're suggesting –  "
314,DONALD TRUMP:,I don't know what I'd call them.  
